Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,11.93,12.04,11.85,12.02,24297500,12.02
2016-10-20,12.02,12.03,11.90,11.97,18116000,11.97
2016-10-19,11.89,12.05,11.88,12.01,26094000,12.01
2016-10-18,11.92,11.93,11.71,11.89,39911300,11.89
2016-10-17,11.91,12.00,11.88,11.88,19875000,11.88
2016-10-14,11.96,12.00,11.89,11.91,25775700,11.91
2016-10-13,11.91,11.91,11.69,11.91,39904200,11.91
2016-10-12,12.00,12.01,11.94,11.96,20627000,11.96
2016-10-11,12.17,12.17,11.91,11.99,40053500,11.99
2016-10-10,12.35,12.38,12.10,12.12,24951400,12.12
2016-10-07,12.39,12.42,12.20,12.29,22093200,12.29
2016-10-06,12.43,12.51,12.33,12.39,25880900,12.39
2016-10-05,12.22,12.53,12.22,12.48,55529100,12.48
2016-10-04,12.11,12.25,12.09,12.20,23948700,12.20
2016-10-03,12.06,12.15,12.02,12.10,20683100,12.10
2016-09-30,12.00,12.14,11.99,12.07,34903800,12.07
2016-09-29,12.03,12.12,11.95,11.97,23397400,11.97
2016-09-28,12.02,12.09,11.96,12.09,29341500,12.09
2016-09-27,12.02,12.09,11.93,11.98,28965800,11.98
2016-09-26,12.12,12.12,12.00,12.01,26758600,12.01
2016-09-23,12.12,12.22,12.12,12.17,18993500,12.17
2016-09-22,12.17,12.29,12.16,12.18,36136200,12.18
